index,id,region_id,area_id,city_id,street_id,shortname_region,formalname_region,shortname_area,formalname_area,shortname_city,formalname_city,shortname_street,formalname_street,house_number,building,block,letter,address,houseguid,management_organization_id,built_year,exploitation_start_year,project_type,house_type,is_alarm,method_of_forming_overhaul_fund,floor_count_max,floor_count_min,entrance_count,elevators_count,energy_efficiency,quarters_count,living_quarters_count,unliving_quarters_count,area_total,area_residential,area_non_residential,area_common_property,area_land,parking_square,playground,sportsground,other_beautification,foundation_type,floor_type,wall_material,basement_area,chute_type,chute_count,electrical_type,electrical_entries_count,heating_type,hot_water_type,cold_water_type,sewerage_type,sewerage_cesspools_volume,gas_type,ventilation_type,firefighting_type,drainage_type,splited_string_len,prepared_address_v1,lat,lon,raw_class,raw_type
10,6938611,43909681-d6e1-432d-b61f-ddac393cb5da,,7b6de6a5-86d0-4735-b11a-499081111af8,031cba93-ce6f-49cc-a792-4d32d9ec129e,край,Приморский,,,г,Владивосток,Проспект,100-летия Владивостока,28г,,,,"край. Приморский, г. Владивосток, Проспект. 100-летия Владивостока, д. 28г",0fc1508b-b3ee-18c0-27e6-66984e826d5a,7566193.0,1963.0,1963.0,1-511,Многоквартирный дом,Нет,На счете регионального оператора,5.0,0.0,2.0,0.0,Не присвоен,34,32.0,2.0,"2223,80","1384,20","385,10","454,50","2310,00","0,00",500,500,"Урны, скамейки",Не заполнено,Не заполнено,Не заполнено,"336,50",Отсутствует,0.0,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Вытяжная вентиляция,Отсутствует,Отсутствует,8.0,"край. Приморский, г. Владивосток, проспект 100-летия Владивостока 28г",,,,
11,7573748,43909681-d6e1-432d-b61f-ddac393cb5da,,7b6de6a5-86d0-4735-b11a-499081111af8,c8f49eb7-14a6-457b-a2e8-eff463128d66,край,Приморский,,,г,Владивосток,пр-кт,100-летия Владивостока,30,,,,"край. Приморский, г. Владивосток, пр-кт. 100-летия Владивостока, д. 30",4451b77a-e291-4dad-b787-263609f4d23c,7566110.0,1962.0,1962.0,1-511,Многоквартирный дом,Нет,На счете регионального оператора,5.0,0.0,2.0,0.0,Не присвоен,43,35.0,8.0,"2353,17","1338,77","458,70","140,70","3025,30","0,00",499,500,"Урны, скамейки",Ленточный,Железобетонные,Кирпич,"20,20",Отсутствует,0.0,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Вытяжная вентиляция,Отсутствует,Отсутствует,8.0,"край. Приморский, г. Владивосток, проспект 100-летия Владивостока 30",,,,
12,6933850,43909681-d6e1-432d-b61f-ddac393cb5da,,7b6de6a5-86d0-4735-b11a-499081111af8,031cba93-ce6f-49cc-a792-4d32d9ec129e,край,Приморский,,,г,Владивосток,Проспект,100-летия Владивостока,30а,,,,"край. Приморский, г. Владивосток, Проспект. 100-летия Владивостока, д. 30а",47de3c62-2e16-4dfc-a073-764a1b72b5d3,7566110.0,1961.0,1961.0,II-32,Многоквартирный дом,Нет,На счете регионального оператора,5.0,0.0,4.0,0.0,Не присвоен,80,80.0,0.0,"4465,40","3484,90","42,00","938,50","3317,40","0,00",500,500,"Урны, скамейки",Ленточный,Железобетонные,Панельные,"661,70",Отсутствует,0.0,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Вытяжная вентиляция,Отсутствует,Наружные водостоки,8.0,"край. Приморский, г. Владивосток, проспект 100-летия Владивостока 30а",,,,
13,6931565,43909681-d6e1-432d-b61f-ddac393cb5da,,7b6de6a5-86d0-4735-b11a-499081111af8,031cba93-ce6f-49cc-a792-4d32d9ec129e,край,Приморский,,,г,Владивосток,Проспект,100-летия Владивостока,30б,,,,"край. Приморский, г. Владивосток, Проспект. 100-летия Владивостока, д. 30б",31dbf825-7489-0baf-35b9-312a780adae2,7566110.0,1961.0,1961.0,II-32,Многоквартирный дом,Нет,На счете регионального оператора,5.0,0.0,4.0,0.0,Не присвоен,83,78.0,5.0,"4486,20","3345,10","133,10","1008,00","3009,40","0,00",500,500,"Урны, скамейки",Ленточный,Железобетонные,Панельные,"663,00",Отсутствует,0.0,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Вытяжная вентиляция,Отсутствует,Наружные водостоки,8.0,"край. Приморский, г. Владивосток, проспект 100-летия Владивостока 30б",,,,
14,7573746,43909681-d6e1-432d-b61f-ddac393cb5da,,7b6de6a5-86d0-4735-b11a-499081111af8,c8f49eb7-14a6-457b-a2e8-eff463128d66,край,Приморский,,,г,Владивосток,пр-кт,100-летия Владивостока,30в,,,,"край. Приморский, г. Владивосток, пр-кт. 100-летия Владивостока, д. 30в",9401a39f-1bd5-4aa7-8354-884dec2fb64c,7566110.0,1961.0,1961.0,II-32,Многоквартирный дом,Нет,На счете регионального оператора,5.0,0.0,2.0,0.0,Не присвоен,46,41.0,5.0,"2097,50","1614,70","163,00","327,10","2018,30","0,00",500,500,"Урны, скамейки",Ленточный,Железобетонные,Кирпич,"207,30",Отсутствует,0.0,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Вытяжная вентиляция,Отсутствует,Отсутствует,8.0,"край. Приморский, г. Владивосток, проспект 100-летия Владивостока 30в",,,,
15,7573768,43909681-d6e1-432d-b61f-ddac393cb5da,,7b6de6a5-86d0-4735-b11a-499081111af8,c8f49eb7-14a6-457b-a2e8-eff463128d66,край,Приморский,,,г,Владивосток,пр-кт,100-летия Владивостока,31,,,,"край. Приморский, г. Владивосток, пр-кт. 100-летия Владивостока, д. 31",6cc1b49a-3481-4a95-ab0e-cabc6d76c7a6,7566110.0,1960.0,1960.0,1-511,Многоквартирный дом,Нет,На счете регионального оператора,5.0,0.0,2.0,0.0,Не присвоен,51,38.0,13.0,"2581,20","1340,40","328,40","448,50","2019,60","0,00",500,500,"Урны, скамейки",Ленточный,Железобетонные,Кирпич,"257,50",Отсутствует,0.0,Центральное,2.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Вытяжная вентиляция,Отсутствует,Отсутствует,8.0,"край. Приморский, г. Владивосток, проспект 100-летия Владивостока 31",,,,
16,6940817,43909681-d6e1-432d-b61f-ddac393cb5da,,7b6de6a5-86d0-4735-b11a-499081111af8,031cba93-ce6f-49cc-a792-4d32d9ec129e,край,Приморский,,,г,Владивосток,Проспект,100-летия Владивостока,32,,,,"край. Приморский, г. Владивосток, Проспект. 100-летия Владивостока, д. 32",563c7812-9049-1cce-fe70-ef9c90e81ea1,7566110.0,1961.0,1961.0,1-511,Многоквартирный дом,Нет,На счете регионального оператора,5.0,0.0,2.0,0.0,Не присвоен,39,37.0,2.0,"2508,10","1508,80","108,70","474,90","3371,60","0,00",500,500,"Урны, скамейки",Ленточный,Железобетонные,Кирпич,"354,30",Отсутствует,0.0,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Вытяжная вентиляция,Отсутствует,Отсутствует,8.0,"край. Приморский, г. Владивосток, проспект 100-летия Владивостока 32",,,,
17,6483599,43909681-d6e1-432d-b61f-ddac393cb5da,,7b6de6a5-86d0-4735-b11a-499081111af8,031cba93-ce6f-49cc-a792-4d32d9ec129e,край,Приморский,,,г,Владивосток,Проспект,100-летия Владивостока,32а,,,,"край. Приморский, г. Владивосток, Проспект. 100-летия Владивостока, д. 32а",fdc8c6ec-e481-88e6-72c9-e45bb976d889,7566110.0,1961.0,1961.0,1-511,Многоквартирный дом,Нет,На счете регионального оператора,5.0,0.0,2.0,0.0,Не присвоен,43,40.0,3.0,"2458,30","1622,20","245,10","245,10","2007,00","0,00",500,500,"Урны, скамейки",Ленточный,Железобетонные,Кирпич,"122,30",Отсутствует,0.0,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Вытяжная вентиляция,Отсутствует,Отсутствует,8.0,"край. Приморский, г. Владивосток, проспект 100-летия Владивостока 32а",,,,
18,6545568,43909681-d6e1-432d-b61f-ddac393cb5da,,7b6de6a5-86d0-4735-b11a-499081111af8,c8f49eb7-14a6-457b-a2e8-eff463128d66,край,Приморский,,,г,Владивосток,пр-кт,100-летия Владивостока,32б,,,,"край. Приморский, г. Владивосток, пр-кт. 100-летия Владивостока, д. 32б",c2d2e41a-9533-4cec-a5ec-e5f3cdf1e73a,7566110.0,1962.0,1962.0,II-32,Многоквартирный дом,Нет,На специальном счете организации,5.0,0.0,4.0,0.0,Не присвоен,80,80.0,0.0,"4756,90","3711,70","0,00","1054,60","3014,00","0,00",500,500,"Урны, скамейки",Ленточный,Железобетонные,Панельные,"772,40",Отсутствует,0.0,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Вытяжная вентиляция,Отсутствует,Наружные водостоки,8.0,"край. Приморский, г. Владивосток, проспект 100-летия Владивостока 32б",,,,
19,7573759,43909681-d6e1-432d-b61f-ddac393cb5da,,7b6de6a5-86d0-4735-b11a-499081111af8,c8f49eb7-14a6-457b-a2e8-eff463128d66,край,Приморский,,,г,Владивосток,пр-кт,100-летия Владивостока,33,,,,"край. Приморский, г. Владивосток, пр-кт. 100-летия Владивостока, д. 33",8d8f0802-cba2-4202-9aa1-f0817a9e0a5a,7566110.0,1961.0,1961.0,1-511,Многоквартирный дом,Нет,На счете регионального оператора,5.0,0.0,2.0,0.0,Не присвоен,46,38.0,8.0,"2642,70","1340,40","286,50","448,30","3018,60","0,00",500,500,"Урны, скамейки",Ленточный,Железобетонные,Кирпич,"328,50",Отсутствует,0.0,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Вытяжная вентиляция,Отсутствует,Отсутствует,8.0,"край. Приморский, г. Владивосток, проспект 100-летия Владивостока 33",,,,
